date,strategy_net,benchmark_net
2022-01-03,1.0,1.0
2022-01-04,1.0,1.0
2022-01-05,1.0,1.0
2022-01-06,1.0,1.0
2022-01-09,1.0,1.0
2022-01-10,1.0,1.0
2022-01-11,1.0,1.0
2022-01-12,1.0,1.0
2022-01-13,1.0,1.0
2022-01-16,1.0,1.0
2022-01-17,1.0,1.0
2022-01-18,1.0,1.0
2022-01-19,1.0,1.0
2022-01-20,1.0,1.0
2022-01-23,1.0,1.0
2022-01-24,1.0,1.0
2022-01-25,1.0,1.0
2022-01-26,1.0,1.0
2022-01-27,1.0,0.997
2022-02-06,1.0,1.0175922478828934
2022-02-07,1.0,1.0250474160201837
2022-02-08,1.0,1.0381219268725894
2022-02-09,1.0,1.0350601377731456
2022-02-10,1.0,1.040588574454983
2022-02-13,1.0,1.0217324224428515
2022-02-14,1.0,1.018910075798114
2022-02-15,1.0,1.0257254375217388
2022-02-16,1.0,1.0242124757404643
2022-02-17,1.0,1.0363457882512994
2022-02-20,1.0,1.0305412437439712
2022-02-21,1.0,1.010603022762645
2022-02-22,1.0,1.0119986770296336
2022-02-23,1.0,0.9885246187135787
2022-02-24,1.0,0.9910275804128345
2022-02-27,1.0,0.9845420858995475
2022-02-28,1.0,0.9997442558586634
2022-03-01,1.0,0.9885703963070781
2022-03-02,1.0,0.98578391658608
2022-03-03,1.0,0.9729876156455048
2022-03-06,1.0,0.9356219956567321
2022-03-07,1.0,0.9154392171431294
2022-03-08,1.0,0.9040521274144989
2022-03-09,1.0,0.9116438614359095
2022-03-10,1.0,0.9242967951481305
2022-03-13,1.0,0.8967269835440157
2022-03-14,1.0,0.8512368663775026
2022-03-15,1.0,0.8874415325597144
2022-03-16,1.0,0.904883349626416
2022-03-17,1.0,0.9210191983227756
2022-03-20,1.0,0.9085607127890725
2022-03-21,1.0,0.9165917386410146
2022-03-22,1.0,0.9187889606869292
2022-03-23,1.0,0.9182125217889507
2022-03-24,1.0,0.9022263511440277
2022-03-27,1.0,0.8992077303924879
2022-03-28,1.0,0.8929659471652615
2022-03-29,1.0,0.9224255695035606
2022-03-30,1.0,0.9230861115279195
2022-03-31,1.0,0.9373747780657579
2022-04-05,1.0,0.9422214931485947
2022-04-06,1.0,0.9304558545369614
2022-04-07,1.0,0.9308240160194867
2022-04-10,1.0,0.9065944775182521
2022-04-11,1.0,0.9227812289618846
2022-04-12,1.0,0.9183181813597421
2022-04-13,1.0,0.931863191374557
2022-04-14,1.0,0.9385947894654472
2022-04-17,1.0,0.9168074890929748
2022-04-18,1.0,0.9090965829998574
2022-04-19,1.0,0.9120663112640555
2022-04-20,1.0,0.9033756598744785
2022-04-21,1.0,0.9100834946719345
2022-04-24,1.0,0.8615123309445202
2022-04-25,1.0,0.8466980909874047
2022-04-26,1.0,0.8633234275156311
2022-04-27,1.0,0.8711795073479941
2022-04-28,1.0,0.8849449487582818
2022-05-04,1.0,0.8889255228724866
2022-05-05,0.999625,0.8705426417990525
2022-05-08,0.9967674343017612,0.8578498157928172
2022-05-09,0.9977769720672881,0.8654182802489215
2022-05-10,0.9975305048097017,0.8685175006605794
2022-05-11,0.9973815331303252,0.8616652192802808
2022-05-12,0.9974624372683969,0.8695872863857389
2022-05-15,0.9923838442235822,0.8567916591237109
2022-05-16,0.994066392272323,0.8697727721822467
2022-05-17,0.9938853427753764,0.8664467350737665
2022-05-18,0.9909374198361823,0.858039411592914
2022-05-19,0.9965657898674273,0.8813791376495348
2022-05-22,0.9936177317846507,0.8683564210417521
2022-05-23,0.9918784132304862,0.8528159065102472
2022-05-24,0.9916801807948084,0.8528726553561563
2022-05-25,0.9915671589556928,0.8515822304509588
