param,value,is_base,full_sharpe,full_annual_return,full_max_drawdown,is_sharpe,oos_sharpe,oos_annual_return,oos_max_drawdown,is_minus_oos_sharpe
fast,10.0,False,-0.9459989078548012,-0.06805720990419188,-0.17403083659908714,-0.38161575597801545,-2.4011339307867607,-0.16020382801493083,-0.09605241232130146,2.0195181748087454
fast,20.0,True,-0.854275268925754,-0.06177490479531103,-0.14492767427227027,-0.5529670296994751,-1.5034072263473313,-0.1142345820125216,-0.09019161935199582,0.9504401966478562
fast,30.0,False,-1.055179760957326,-0.07672636855463395,-0.16794200853647134,-0.948921389040331,-1.2947952821237267,-0.09505031347992547,-0.08395716715741985,0.3458738930833958
slow,40.0,False,-1.039923548276566,-0.08219793463882014,-0.16210392693567566,-0.7877183621975549,-1.7021269296609707,-0.12330998544738361,-0.09578311384676741,0.9144085674634158
slow,60.0,True,-0.854275268925754,-0.06177490479531103,-0.14492767427227027,-0.5529670296994751,-1.5034072263473313,-0.1142345820125216,-0.09019161935199582,0.9504401966478562
slow,90.0,False,-0.6545469478660563,-0.05067933038648444,-0.1468281411218706,-0.43729262681224323,-1.1260043390950434,-0.09109144057029138,-0.08979291068961315,0.6887117122828001
vol_max,0.3,False,-1.3490037209589716,-0.08285437840413006,-0.16780877589655419,-1.254089122677516,-1.5579401066359286,-0.09790276976639478,-0.07021361470516385,0.3038509839584127
vol_max,0.4,True,-0.854275268925754,-0.06177490479531103,-0.14492767427227027,-0.5529670296994751,-1.5034072263473313,-0.1142345820125216,-0.09019161935199582,0.9504401966478562
vol_max,0.5,False,-0.9900973521987012,-0.07957139784447217,-0.17166990149167216,-0.762576594898818,-1.5565916859717686,-0.1187488075130485,-0.09258125117586702,0.7940150910729505
vol_max,,False,-0.9125458870537615,-0.07503082947949637,-0.16465466157201314,-0.664776872439168,-1.5512041702296777,-0.1183096527849235,-0.09258125117586746,0.8864272977905097
